"species" "forest" "LDMC" "SLA" "SDMC" "RDMC" "SRA" "Rdi" "leaf_d13C" "leaf_CN" "leaf_N" "root_N" "root_CN" "HubVal"
"1" "a.his" "Quercus petraea" 0.272974383299195 15.1875860565566 0.388030375636224 0.490946398628594 21.1046870643153 0.30075 -29.862464714992 11.8995002027318 4.05 1.15134423559645 38.2161986308169 0.000545346822714788
"2" "a.his" "Shrubland" 0.325112871937632 9.19710709627661 0.492293773713896 0.529655209494404 22.3634823481772 0.3382 -28.757121954 12.077258592682 4.1046235 1.52355624692072 31.2809613892231 0.000545346822714788
"3" "c.mon" "Fagus sylvatica" 0.387461107269143 15.837929352648 0.524873054694367 0.589352559513601 18.9298626625402 0.324 -31.5707523915282 27.5244201087365 1.6024 0.914853346353365 47.0522831831316 0.00029566500263544
"4" "c.mon" "Mixed forest" 0.376813319957329 17.2665039818223 0.507613845004455 0.534793892442737 13.4653602367629 0.3852 -31.5640523016342 29.6115439022969 1.484 0.834240706181284 52.6536780312583 0.00029566500263544
"5" "c.mon" "Q. pyrenaica-F. sylvatica" 0.417619873488544 13.7308420222586 0.520313840640715 0.54791045049785 19.0894326596549 0.317 -30.8771447699307 28.2999585053339 1.5524 0.956472615928462 51.748079125927 0.00029566500263544
"6" "c.mon" "Quercus petraea" 0.351407591360883 20.4390349757776 0.492664801692534 0.511061644780422 19.4625389644987 0.3568 -32.1933330891574 24.4306954463228 1.7748 0.927520106449284 48.4731683524494 0.00029566500263544
"7" "c.mon" "Quercus pyrenaica" 0.402642637537213 15.103102255655 0.501881899391255 0.51052684875552 15.6329760499258 0.4022 -31.1929786224248 28.6046523034682 1.563 0.711535588331206 22.9316058021376 0.00029566500263544
"8" "c.mon" "Shrubland" 0.423358224172798 14.2678527945674 0.561885467634993 0.644321076006177 23.3030377877719 0.2682 -30.778130076 23.3521864084377 1.68969925 0.917025963823122 52.1243248170084 0.00029566500263544
"9" "c.pur" "Shrubland" 0.474566266686553 2.10987730084721 0.568103159275216 0.641908409531044 17.0782337121441 0.3492 -28.203744152 25.2726467235434 2.0405188 1.42274249338022 36.943490824621 0.000758440703909814
"10" "c.sco" "Mixed forest" 0.22402555604117 23.5873136380392 0.341408599341126 0.509850424801126 15.1039612379271 0.374 -31.828705609537 10.8306006987113 4.1066 0.817031791638215 57.0578305556963 0.000214240986097879
"11" "c.sco" "Quercus petraea" 0.242768765675511 21.1778231039601 0.379475761239727 0.497555694723187 19.112586322491 0.3376 -31.3773420213335 12.6776401080699 3.584 1.41092438308121 29.3390434796306 0.000214240986097879
"12" "c.sco" "Quercus pyrenaica" 0.240826197397719 20.0026275696259 0.359312647584325 0.376135566543327 20.7534828903947 0.3814 -30.9775885997798 12.250698846017 3.8198 1.11397808735971 43.1984370176635 0.000214240986097879
"13" "e.arb" "Mixed forest" 0.450165966435344 9.47175373253625 0.496681355392202 0.54982529350274 14.6674548577678 0.3656 -29.6643693949254 38.4222866585039 1.297 0.901364094595537 44.21476422649 0.000217838727676885
"14" "e.arb" "Q. pyrenaica-F. sylvatica" 0.373838495552317 12.7778439064473 0.442405465989734 0.607676574059943 17.39333302093 0.3456 -29.3819215131962 36.5037726244908 1.386 0.887467298129407 44.7019628693183 0.000217838727676885
"15" "e.arb" "Quercus petraea" 0.427931955433595 10.5354155736718 0.508133517461302 0.497882961422908 18.4766627898258 0.3314 -29.9756100699667 31.8739610383974 1.6362 0.948789284823325 42.2988500263032 0.000217838727676885
"16" "e.arb" "Quercus pyrenaica" 0.447943127600033 8.74792233399297 0.48969942607547 0.517992151956169 16.1577303918572 0.402 -29.1583092788958 37.2894490572058 1.3076 0.944983461509474 44.2316238963006 0.000217838727676885
"17" "e.arb" "Shrubland" 0.498880774542813 9.89692395214168 0.587889127608627 0.675306353175479 20.3594179909513 0.3036 -27.536021314 31.3569183715587 1.6052026 0.931100524643282 49.0995070797927 0.000217838727676885
"18" "e.aus" "Quercus pyrenaica" 0.51453012088791 5.70338891481049 0.460048289884387 0.658781718320175 18.556600628993 0.2616 -28.5557492989218 37.1215890078645 1.2548 0.922740932740205 44.9093416196409 8.64299337102581e-05
"19" "f.syl" "Fagus sylvatica" 0.445799059067385 22.1378397194585 0.500327151362865 0.704561087390545 19.2442848012277 0.2926 -30.9135823903643 21.5991902558908 2.171 1.1012 45.5686007070311 0.000359309501807486
"20" "f.syl" "Mixed forest" 0.453448138647963 19.6915765645612 0.504385096827682 0.753944259365528 21.5934265264789 0.259 -30.7869035593894 22.7311606199727 2.01383333333333 1.131 44.2533720021314 0.00030846061227182
"21" "f.syl" "Q. pyrenaica-F. sylvatica" 0.405744717602674 22.8824321861027 0.487394535798594 0.621142336826666 15.9124288547616 0.3256 -30.7091822681582 18.0964779018237 2.5612 1.0892 46.56745170303 0.000305299826624202
"22" "f.syl" "Quercus petraea" 0.395731571399681 29.6797419102795 0.47946453472915 0.662046540610316 20.8286603140886 0.2626 -32.2953856321703 19.6359782426678 2.2802 1.1962 40.9439086677255 0.000137851422943659
"23" "f.syl" "Quercus pyrenaica" 0.422030357219637 23.4533753446375 0.494374589303623 0.658694993632737 19.1324841195503 0.3018 -29.9089054132885 19.9347523819597 2.2732 1.1534 42.8884018930598 0.000170920750284711
"24" "g.flo" "Fagus sylvatica" 0.263413913092858 25.3052904097476 0.420768632166122 0.575615521308405 26.5155563636153 0.275 -31.2138898921107 12.363178333084 3.7136 1.49614797763132 36.6223320287879 0.00023382286008341
