"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"55" "Quercus petraea" 113 "LDMC" -0.4936655612293 0.832783211908681 -0.208290044774138 -0.168172717217333
"56" "Quercus petraea" 114 "LDMC" -0.120776543588053 0.597269814296451 -0.875295302237472 0.0365061897847276
"57" "Quercus petraea" 115 "LDMC" -0.108786982200737 0.57700100555821 -0.755590492497727 -0.134524572697809
"58" "Shrubland" 116 "LDMC" -0.0131576629185268 0.706587958766527 0.610619233645611 0.673611925375053
"59" "Shrubland" 117 "LDMC" 0.130684070811131 0.95551970753497 0.348583748586117 -0.502268675274303
"60" "Shrubland" 118 "LDMC" 0.435558066932225 0.994921923689272 -0.00727554339465248 -0.687435636655541
"61" "Quercus pyrenaica" 1 "SLA" -0.316084627537474 0.720575626772831 0.713861150147616 0.0696136906015363
"62" "Quercus pyrenaica" 2 "SLA" -0.187224506584643 0.730389654168501 0.626447928591261 -0.0845565305026401
"63" "Quercus pyrenaica" 3 "SLA" -0.581705103153015 0.45227172133376 1.10981873279544 2.38444636846117
"64" "Quercus pyrenaica" 4 "SLA" -0.671758647751325 0.505153133328165 0.939167737327645 1.81637614935913
"65" "Quercus pyrenaica" 5 "SLA" -0.627465881645017 0.436242443783271 1.07138567733208 2.35076000255851
"66" "Quercus pyrenaica" 6 "SLA" -0.613063134988725 0.524669065812882 0.963033247591486 1.81673867973346
"67" "Quercus pyrenaica" 7 "SLA" -0.473674450010128 0.525460453314495 0.938509413644647 1.18235245908431
"68" "Quercus pyrenaica" 8 "SLA" -0.278883119824935 0.811143847392257 0.523117552076306 -0.421021482858166
"69" "Q. pyrenaica-F. sylvativa" 9 "SLA" 0.213434849257683 1.08520074704971 1.29026705014922 1.50480081610893
"70" "Q. pyrenaica-F. sylvativa" 10 "SLA" 0.230572669625364 1.33386907948095 1.23752732069953 0.861752715300588
"71" "Quercus pyrenaica" 12 "SLA" -0.388729859181155 0.4744484852318 1.09231898987477 1.50146377865387
"72" "Q. pyrenaica-F. sylvativa" 14 "SLA" 0.111561461694721 1.37192511402407 1.2832513546652 0.956519045126073
"73" "Q. pyrenaica-F. sylvativa" 15 "SLA" 0.100722816613188 1.27956818482405 1.3506258346091 1.27510867243156
"74" "Q. pyrenaica-F. sylvativa" 16 "SLA" 0.258242806467176 1.08283954070757 1.3859180307061 1.38064276891425
"75" "Q. pyrenaica-F. sylvativa" 17 "SLA" 0.0734394665144761 1.19646830242644 1.09489772922653 1.2058419147323
"76" "Quercus pyrenaica" 20 "SLA" -0.0800508238878384 0.672848992046292 0.593846984996103 -0.0918529041674683
"77" "Q. pyrenaica-F. sylvativa" 21 "SLA" 0.165429902875809 1.28461598317703 1.34500549856632 1.16287933526241
"78" "Q. pyrenaica-F. sylvativa" 22 "SLA" 0.135565253257705 1.15364329371717 1.30196756332972 1.44127886216654
"79" "Q. pyrenaica-F. sylvativa" 23 "SLA" 0.257189179954539 1.0985038351689 1.16297303059205 1.20837107047022
"80" "Q. pyrenaica-F. sylvativa" 33 "SLA" 0.239696900577994 1.04216678296784 1.23211972177487 1.48525001051063
"81" "Fagus sylvatica" 41 "SLA" 0.0859217767332663 0.476525064247696 0.256832037927455 -0.475208449312003
"82" "Fagus sylvatica" 42 "SLA" 0.243751612884372 0.618466498429571 -0.510732318644112 -0.997336932033337
"83" "Mixed forest" 48 "SLA" -0.0945508776336035 0.914846189436871 0.716720524267368 -0.240811639825771
"84" "Mixed forest" 49 "SLA" 0.0815275459213512 1.13193817855744 0.898426429829863 0.312725278089705
"85" "Fagus sylvatica" 52 "SLA" 0.205418050646515 0.696602321841571 -0.388892913930663 -1.26782434241792
"86" "Fagus sylvatica" 53 "SLA" 0.346231301731748 0.705631652706948 0.450212985595898 1.30590340287453
"87" "Fagus sylvatica" 54 "SLA" 0.170569295001236 0.594314242125785 -0.299636655683937 -1.13984007302177
"88" "Mixed forest" 58 "SLA" 0.0708378522571681 1.18714353755033 1.00200971441282 0.369445654102512
"89" "Mixed forest" 59 "SLA" -0.0740969955695424 1.18069499563292 1.14262121199065 0.995462835930194
"90" "Mixed forest" 60 "SLA" 0.0512125861162751 1.09799889655099 1.08091313603095 0.739647923116605
"91" "Fagus sylvatica" 61 "SLA" 0.274557880714049 0.556913108958441 -0.621683092485285 -0.723239685613931
"92" "Fagus sylvatica" 62 "SLA" 0.274557880714049 0.556913108958441 -0.621683092485285 -0.723239685613931
"93" "Fagus sylvatica" 63 "SLA" 0.243751612884372 0.618466498429571 -0.510732318644112 -0.997336932033337
"94" "Fagus sylvatica" 64 "SLA" 0.250727490806682 0.619978250374747 -0.237874551079703 -0.738415259634711
"95" "Fagus sylvatica" 65 "SLA" 0.206084012836853 0.546469012125944 -0.413985737494697 -0.94627172038341
"96" "Mixed forest" 67 "SLA" -0.149755989597962 1.12362851548264 1.22766464267445 1.32719884586919
"97" "Mixed forest" 68 "SLA" -0.16949532421312 1.29523057640662 1.23104172079366 0.933005960364591
"98" "Mixed forest" 69 "SLA" -0.116998180437351 0.701299842596957 0.516545422189038 -0.387720460919925
"99" "Mixed forest" 70 "SLA" -0.0610853733491619 1.06472645602161 1.2849268041405 1.42065135885102
"100" "Mixed forest" 71 "SLA" 0.199685959855618 1.16793064347499 0.827684761147929 0.0226033214940902
"101" "Quercus petraea" 80 "SLA" 0.991878210237956 1.10859683982251 -0.0526965618342654 -1.3938035964438
"102" "Shrubland" 83 "SLA" -0.69189263804303 0.537373830258824 -0.295716976198156 -0.60303193181685
"103" "Shrubland" 84 "SLA" -0.839446013610586 0.569406851078267 -0.388857154505987 -0.670494946059542
"104" "Quercus petraea" 90 "SLA" 0.929771727782446 1.03713005764465 0.0828635605607562 -1.32959771075264
"105" "Quercus petraea" 91 "SLA" 0.574004746393332 0.876370203956713 0.839078184147822 -0.648929282918619
"106" "Quercus petraea" 93 "SLA" 0.985122519456271 1.08646071756457 -0.0454951861843232 -1.34740948610046
"107" "Shrubland" 95 "SLA" -0.432325349299521 0.351997113433367 -0.221045443998042 -0.615114215737471
"108" "Shrubland" 96 "SLA" -0.872441515474499 0.47134291915534 -0.094358226204608 -0.459632899055341
"109" "Quercus petraea" 102 "SLA" 0.108539641190632 0.51680602789879 1.50610528540801 2.47598388371962
"110" "Quercus petraea" 103 "SLA" 0.908467858305103 1.04845571917458 0.125926594889794 -1.33318379993905
