"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"1" "Fagus sylvatica" 41 "LDMC" 0.392631665348057 0.00378924120161842 0.0506473307831436 -0.822278158778803
"2" "Fagus sylvatica" 42 "LDMC" 0.420879838531072 0.00275353720711881 -0.320742168089448 -1.1880884433314
"3" "Fagus sylvatica" 52 "LDMC" 0.429018807348823 0.00326136900929699 -1.11474872926474 0.415149197063807
"4" "Fagus sylvatica" 53 "LDMC" 0.402959011421004 0.00351075105493319 -0.0758005362770459 -1.08257250291053
"5" "Fagus sylvatica" 54 "LDMC" 0.423980415417998 0.00265175760687855 -0.346783203924774 -1.19015397029625
"6" "Fagus sylvatica" 61 "LDMC" 0.391192740443735 0.00498979148012081 -0.211253015103791 -1.28829413960737
"7" "Fagus sylvatica" 62 "LDMC" 0.401026655582987 0.00424231434616364 -0.3163751011367 -1.07553119741831
"8" "Fagus sylvatica" 63 "LDMC" 0.393833483914719 0.00371228723540386 -0.00185464694981242 -1.08540028905597
"9" "Fagus sylvatica" 64 "LDMC" 0.426001007355459 0.00298325764045332 -0.687469970986191 -0.360238237528008
"10" "Fagus sylvatica" 65 "LDMC" 0.434545379541369 0.00228390350753172 -0.735863057903173 -0.363273910637818
"11" "Mixed forest" 48 "LDMC" 0.361509694937449 0.00439433346700146 -0.604487067146214 -0.143609880232279
"12" "Mixed forest" 49 "LDMC" 0.371186201580361 0.00543895945016264 -0.521282790112429 -0.49875458895199
"13" "Mixed forest" 58 "LDMC" 0.377577152284832 0.00496524593075308 -0.537386810763874 0.146922417537199
"14" "Mixed forest" 59 "LDMC" 0.403628472459211 0.00456584425622724 -0.678342037539091 -0.105338476352155
"15" "Mixed forest" 60 "LDMC" 0.387005570482863 0.00356770723576791 -0.526032561299002 -0.0658989730466395
"16" "Mixed forest" 67 "LDMC" 0.385052612541551 0.00251978893713863 -0.0454911601400747 0.350601411209576
"17" "Mixed forest" 68 "LDMC" 0.397477772362926 0.00296753112835113 0.0953679717508952 -0.301738831040951
"18" "Mixed forest" 69 "LDMC" 0.376385905529994 0.00224052961060024 -1.06545319104788 2.50374430160065
"19" "Mixed forest" 70 "LDMC" 0.407086274328157 0.00298523244754411 -0.456807305491338 0.194706425705447
"20" "Mixed forest" 71 "LDMC" 0.365468569672825 0.00292581681964224 -0.524371199339532 -0.111798958798834
"21" "Q. pyrenaica-F. sylvatica" 9 "LDMC" 0.390122636723116 0.00116443741908255 0.615030458796854 0.102047986645027
"22" "Q. pyrenaica-F. sylvatica" 10 "LDMC" 0.384995095787816 0.001034077178255 0.784073249308089 1.0572805476078
"23" "Q. pyrenaica-F. sylvatica" 14 "LDMC" 0.392830535758665 0.00126280469373609 0.468630543294332 0.505299521576899
"24" "Q. pyrenaica-F. sylvatica" 15 "LDMC" 0.388695198052141 0.00112582684329389 0.704027731054289 0.658243178677729
"25" "Q. pyrenaica-F. sylvatica" 16 "LDMC" 0.3811837716508 0.00164012531995252 -0.856309900809231 3.71467284149482
"26" "Q. pyrenaica-F. sylvatica" 17 "LDMC" 0.369612146284112 0.0024656349417828 -1.42414998128942 3.14255500165526
"27" "Q. pyrenaica-F. sylvatica" 21 "LDMC" 0.395973631202771 0.00137462815918792 0.400822673088726 -0.492123332639328
