"forest" "plot" "trait" "CWM" "CWV" "CWS" "CWK"
"55" "Quercus petraea" 113 "LDMC" -0.51244661447514 1.21668687918554 0.0827907023965153 -0.752244660598794
"56" "Quercus petraea" 114 "LDMC" 0.366564844024441 0.122842299750702 -2.84995974455284 13.5225348450833
"57" "Quercus petraea" 115 "LDMC" 0.333049399094388 0.183891004870284 -2.93003293773786 8.8262099616201
"58" "Shrubland" 116 "LDMC" 0.0222577326999198 0.694491885810772 0.418209494776072 0.246410423156267
"59" "Shrubland" 117 "LDMC" -0.0349725429698545 0.949291172005972 0.384796915541456 -0.794419527505807
"60" "Shrubland" 118 "LDMC" 0.565497179159649 1.09598613781554 -0.163802087991918 -0.854911666393218
"61" "Quercus pyrenaica" 1 "SLA" -0.499146949319499 0.311101732510626 1.13997677061489 2.88714594989836
"62" "Quercus pyrenaica" 2 "SLA" -0.284014989754652 0.592665678181534 1.00784605103806 0.784967921372116
"63" "Quercus pyrenaica" 3 "SLA" -0.53792526721594 0.320947005601483 1.45492681664941 4.28969013989348
"64" "Quercus pyrenaica" 4 "SLA" -0.854466903242673 0.305614831757073 1.05217851179026 2.22956367029762
"65" "Quercus pyrenaica" 5 "SLA" -0.615560337181157 0.35713300880723 0.617185383290584 0.428817470165658
"66" "Quercus pyrenaica" 6 "SLA" -0.874256418693128 0.427588609926061 1.24893145985184 1.85566586862644
"67" "Quercus pyrenaica" 7 "SLA" -0.634546274719963 0.542410416847362 1.34956270293805 2.49659095193139
"68" "Quercus pyrenaica" 8 "SLA" -0.167646493392677 0.698528307062325 0.616661715543113 -0.215831980504313
"69" "Q. pyrenaica-F. sylvativa" 9 "SLA" 0.323294458686066 1.34226757940523 1.27449119169449 0.601892482813071
"70" "Q. pyrenaica-F. sylvativa" 10 "SLA" 0.260254466379269 1.10955491404075 1.62251177560959 1.64075746016327
"71" "Quercus pyrenaica" 12 "SLA" -0.544048957916604 0.337821781309862 1.36182265020556 3.25539230194866
"72" "Q. pyrenaica-F. sylvativa" 14 "SLA" 0.526234718804757 1.47034395151417 1.04831239721818 -0.193271850921473
"73" "Q. pyrenaica-F. sylvativa" 15 "SLA" 0.372908718372477 1.2775129298713 1.35839659545668 0.664251659522255
"74" "Q. pyrenaica-F. sylvativa" 16 "SLA" 0.115203327473857 0.941104797845606 1.78386534603511 2.79443709013114
"75" "Q. pyrenaica-F. sylvativa" 17 "SLA" -0.0158414878761474 0.726896538481123 1.80913842478623 4.27672975381051
"76" "Quercus pyrenaica" 20 "SLA" -0.353100663209065 0.466047213074139 1.12425126435052 1.75280789813338
"77" "Q. pyrenaica-F. sylvativa" 21 "SLA" 0.661094158121001 1.60984116104704 0.805805492606935 -0.672174356453844
"78" "Q. pyrenaica-F. sylvativa" 22 "SLA" 0.182875194463428 1.35327699082145 1.24784271562138 0.902440560745451
"79" "Q. pyrenaica-F. sylvativa" 23 "SLA" 0.0802145460830877 0.499607178874881 1.80953848732078 5.40067850978023
"80" "Q. pyrenaica-F. sylvativa" 33 "SLA" 0.293732248639373 1.17880000733653 1.28663616121759 1.09352127245706
"81" "Fagus sylvatica" 41 "SLA" 0.327288891628885 0.383687920148611 -0.614192075668859 -0.201650587773323
"82" "Fagus sylvatica" 42 "SLA" 0.452743063600629 0.3386662729388 -0.469938535923049 -0.925896738220057
"83" "Mixed forest" 48 "SLA" -0.331712011101034 0.530715603411047 0.70664488715355 0.2200368188415
"84" "Mixed forest" 49 "SLA" -0.221891815450504 0.922213153956543 1.17905934294435 1.08975704982453
"85" "Fagus sylvatica" 52 "SLA" 0.251104137870778 0.654675389979504 -0.444879339858843 -1.17945723632384
"86" "Fagus sylvatica" 53 "SLA" 0.300637722105288 0.48621959097275 -0.631345269989619 -0.379502923243983
"87" "Fagus sylvatica" 54 "SLA" 0.455419030602481 0.33364524889586 -0.364560099380008 -1.28645333287021
"88" "Mixed forest" 58 "SLA" 0.00841385840920863 0.753084285537 1.23875238627777 2.40746226860068
"89" "Mixed forest" 59 "SLA" -0.049739237743686 1.35411684962571 1.20787314901953 0.67958757596638
"90" "Mixed forest" 60 "SLA" -0.365586579248564 0.731521128789361 1.77125737435009 3.74984101801342
"91" "Fagus sylvatica" 61 "SLA" -0.0383901992565105 0.800999178121357 -0.10673694894909 -1.51333993530099
"92" "Fagus sylvatica" 62 "SLA" 0.148201066646432 0.675259374702112 -0.432980203460794 -1.1389801316138
"93" "Fagus sylvatica" 63 "SLA" 0.194010010718432 0.597032195253963 -0.590612304318794 -0.805513583176378
"94" "Fagus sylvatica" 64 "SLA" 0.379677318213058 0.450715586852293 -0.481347994053016 -0.90638720519261
